题目,选项,答案,解析,题型,难度,知识点,知识点Id
Since the American communication style is very informal， it is quite acceptable if you stand close to Americans and touch them to show your friendliness when you are doing business with them. Is this statement true or false? Choose the correct answer and the best reason for it.,A. It is true because Americans love intimacies.|B. It is true because Americans are very open to any communication style.|C. It is false because Americans can accept a close distance but not a touch.|D. It is false because Americans tend to have their personal space during conversations. They don't like to touch people or being touched by people.,D,美国人的沟通方式虽然比较随意，但他们尤其是不熟悉人之间没有过多亲密接触。在公共场合下，人与人之间最好能保持一定两三步的距离。,单选题,易,非言语交际|空间与距离|个人空间与体距，非言语交际|空间与距离|各国的空间与距离观念，美国文化|沟通风格|非言语沟通,IC3-3-2，IC3-3-4，ICN1-2-2
Suppose you work in an American company and your direct supervisor is an American called Jack. You have found that new products are not selling well. In order to find a way to solve the problem， you are supposed to _____________.,A. put forward several rough ideas at the same time for Jack to make the final decision|B. conduct a research， find out the reasons， and present a proposal with persuasive data to Jack， telling him this is the best solution|C. tell Jack about the problem， ask him to make a decision， and execute his decision|D. tell Jack you are not responsible for the problem,B,美国人权力距离较小，上级领导负责把控全局、下属在工作上拥有足够的主动权、决策建议权和责任。下属要能够找到解决问题的方法而不是把问题呈交给上级、让上级来决定该怎么办。在提交建议的时候，权利距离大的文化更倾向于几种方案，让领导决策，这实际上也是让领导来找解决办法，让领导承担责任；而在美国文化中，要说服领导接受该方案。如果方案不通过，再修改。,单选题,易,文化价值观|权力距离，跨文化经营与管理|冲突与解决|权力与决策，跨文化经营与管理|不同管家的管理风格|北美各国管理风格，美国文化|商务文化与惯例|管理风格与文化,IC4-3-2，IC7-2-3，IC7-3-1，ICN1-4-2
If you were Bella's friend， please explain such a situation to her from cultural perspectives.,A. You boss don't like you. Maybe you have displeased him unintentionally.|B. Germany is a masculine society. Your boss don't like successful business women.|C. Overtime is not valued in Germany because it is often regarded as a signal of inefficiency and incapability. Work must be done within paid working hours.|D. Having done an excellent job in China doesn't mean that you can be qualified for the job in Germany. You still have a lot to learn.,C,德国人坚信有能力的人是那些可以在工作时间内把工作做完的人。加班不是勤奋的表现，而是没有能力的表现。德国文化的阳刚性主要体现在对个人表现、成功和社会地位的追求上，而非对女性的歧视上。,单选题,中,文化价值观|阳刚性与阴柔性，德国文化|文化价值观，德国文化|商务文化与惯例|管理风格与文化，跨文化经营与管理|冲突与解决|工作时间观念,IC4-3-4，ICN3-1-3，ICN3-4-2，IC7-2-2
"When you are doing business in India and get a ""I will give it try"" answer， what should you do?","A. Trust the Indian partners and believe they can find a way out.|B. Push the Indian partners to fulfill their promise.|C. Take it as a ""no"" answer but double check it with your partner or other insiders.|D. Give the Indian partners more time to try it.",C,印度人说话也很不直接，很少说no。当他们不同意某件事或观点的时候，通常回答地很含糊。而当他们说“试一试”的时候，基本上等同于说no，如果你不确定，可以进一步确认。,单选题,易,文化价值观|高语境和低语境文化，印度文化|文化价值观，印度文化|沟通风格|言语沟通,IC4-4-1，ICN4-1-3，ICN4-2-1
The bow is the most important gesture and etiquette to greet people or to show respect in Japan. Everyone has to bow in different situations. As a business person in Japan， which of the following etiquette are you supposed to follow when you meet your Japanese partners for the first time?,A. Use the 45 degree bow to show respect.|B. Use the 30 degree bow to show respect.|C. Use the 15 degree bow to show respect.|D. Either a bow or a handshake is ok.,D,在日本的外国人不需要完全遵守日本的鞠躬礼仪，现在握手礼在日本商务礼仪中越来越流行。当然，如果你能够用鞠躬表示，则更能赢得日本人的尊敬。,单选题,易,社会交往与商务礼仪|社会交往通用礼仪|见面，社会交往与商务礼仪|不同国家的商务礼仪|亚洲各国商务礼仪，日本文化|社会习俗与礼仪|会见礼仪,IC5-1-1，IC5-3-3，ICN2-3-1
Which of the following is not the Japanese communication style?,A. Vey indirect and vague|B. Very polite|C. Vey hypocritical|D. Being quiet or silent when there is a conflict,C,日本人崇尚“和谐”，为避免引起冲突或给他人造成麻烦，对一些稍微有些负面信息或不好意思的话，都会采用很隐晦的方式来表达，让人难以揣摩；同样，为表示尊重和避免冲突，日本在日常沟通中经常表现得非常有礼貌、不大声说话、有冲突时会先责备自己而不是对方或者只是表现出无奈，也不能当众大发脾气或抱怨。这些都是日本的礼节或思维方式，而不是刻意的“虚伪”。,单选题,易,文化价值观|高语境和低语境文化，日本文化|文化价值观，日本文化|沟通风格|言语沟通，日本文化|沟通风格|非言语沟通，日本文化|商务文化与惯例|会议沟通与文化,IC4-4-1，ICN2-1-3，ICN2-2-1，ICN2-2-2，ICN2-4-3
If you are going to meet a business partner in Japan， what etiquette should you observe besides the bow?,A. Having a long and firm handshake or hugging to show hospitality.|B. Studying the Japanese business cards when receiving them.|C. Taking a seat casually because you're the guest.|D. Looking at your Japanese partner's eyes to show respect and that you're listening carefully.,B,日本人不喜欢肢体接触，一般用鞠躬表示问候，所以握手时间不可太长；在交换名片时，要研究一下名片，包括名字、公司和职位等信息，并把名片放在专门的名片夹里；因为座位有特殊讲究，所以等日方安排座位最好；日本人不喜欢盯着对方看，这是不礼貌的。,单选题,易,非言语交际|体态语|眼神交流，非言语交际|体态语|各国的体态语，社会交往与商务礼仪|不同国家的商务礼仪|亚洲各国商务礼仪，社会交往与商务礼仪|社会交往通用礼仪|见面，社会交往与商务礼仪|商务场合特殊礼仪|名片交换礼仪，日本文化|文化价值观，日本文化|社会习俗与礼仪|会见礼仪，日本文化|商务文化与惯例|名片交换礼仪,IC3-2-4，IC3-2-5，IC5-3-3，IC5-1-1，IC5-2-2，ICN2-1-3，IC5-2-3，ICN2-4-5
In Japan， one should open the gift in front of the giver.,A. Having a long and firm handshake or hugging to show hospitality.|B. Studying the Japanese business cards when receiving them.|C. Taking a seat casually because you're the guest.|D. Looking at your Japanese partner's eyes to show respect and that you're listening carefully.,B,日本人不喜欢肢体接触，一般用鞠躬表示问候，所以握手时间不可太长；在交换名片时，要研究一下名片，包括名字、公司和职位等信息，并把名片放在专门的名片夹里；因为座位有特殊讲究，所以等日方安排座位最好；日本人不喜欢盯着对方看，这是不礼貌的。,单选题,易,社会交往与商务礼仪|社会交往通用礼仪|送礼，社会交往与商务礼仪|不同国家的商务礼仪|亚洲各国商务礼仪，日本文化|社会习俗与礼仪|送礼,IC5-1-4，IC5-3-3，ICN2-3-4
Why does Yamashita want to postpone the market launch of the new ice cream?,A.He is suspicious of Adam's capability.|B.He is not familiar with the Chinese market and needs more time to study it.|C.As a Japanese， he is very cautious and tries to avoid uncertain elements. Besides， he needs to consult other people in the team before making a decision.|D.He tries to assert his authority as a new boss here.,C,日本人做事比较小心谨慎，而且注重团队合作和共识。管理层要听取下属的意见和分析之后才能做出决策。,单选题,中,文化价值观|个人主义和集体主义，文化价值观|不确定性规避，日本文化|文化价值观,IC4-3-1，IC4-3-3，ICN2-1-3
Why does Yamashita keep silent when Adam tries to argue back?,"A.He is unable to justify himself with persuasive arguments.|B.He has no time for it because he has something important to do.|C.He thinks it's no use to argue with a subordinate.|D.He has implied that the conversation is over and Adam should leave by saying ""we are both very busy"".",D,日本人说话很不直接。Yamashita认为在没有争取团队意见之前没必要再争论什么，他说还要准备其他会议，其实是想让Adam离开，但又不会直接说，而Adam没有理解他的意思，继续争论当然不会得到任何回应。,单选题,中,文化价值观|高语境和低语境文化，非言语交际|副语言|沉默，非言语交际|副语言|各国的副语言特点，日本文化|文化价值观，日本文化|沟通风格|言语沟通，日本文化|沟通风格|非言语沟通,IC4-4-1，IC3-5-3，IC3-5-4，ICN2-1-3，ICN2-2-1，ICN2-2-2
